batch,n_tokens,loss_L0_age_bin,train_acc_L0_age_bin,loss_L0_gender,train_acc_L0_gender,loss_L0_star_sign,train_acc_L0_star_sign,loss_L6_age_bin,train_acc_L6_age_bin,loss_L6_gender,train_acc_L6_gender,loss_L6_star_sign,train_acc_L6_star_sign,loss_L12_age_bin,train_acc_L12_age_bin,loss_L12_gender,train_acc_L12_gender,loss_L12_star_sign,train_acc_L12_star_sign,loss_L18_age_bin,train_acc_L18_age_bin,loss_L18_gender,train_acc_L18_gender,loss_L18_star_sign,train_acc_L18_star_sign,loss_L24_age_bin,train_acc_L24_age_bin,loss_L24_gender,train_acc_L24_gender,loss_L24_star_sign,train_acc_L24_star_sign
378,2400,1.18036,0.35886,0.73842,0.51348,2.73425,0.08747,0.99696,0.4141,0.69617,0.5521,2.79197,0.08451,1.04496,0.40296,0.69046,0.54349,2.85471,0.08525,0.94398,0.44558,0.63216,0.5642,2.7907,0.08879,0.91437,0.45919,0.67742,0.58555,2.8138,0.0933
379,2400,1.14936,0.35895,0.73161,0.51352,2.75867,0.08747,0.9748,0.41432,0.69726,0.5522,2.72398,0.08457,0.99001,0.40321,0.71531,0.54349,2.76197,0.08529,0.9603,0.44577,0.67055,0.56431,2.79484,0.08883,0.933,0.45937,0.70327,0.58554,2.81144,0.09332
380,2400,1.15493,0.35904,0.72139,0.51354,2.72817,0.08746,0.99745,0.41453,0.66692,0.55234,2.75598,0.0846,1.03859,0.40334,0.69962,0.54357,2.74488,0.08532,0.9515,0.4459,0.66472,0.56445,2.71979,0.08889,0.99078,0.45949,0.65795,0.58567,2.68053,0.09341
381,2400,1.16982,0.3591,0.73274,0.51357,2.77684,0.08747,1.00893,0.41478,0.67566,0.55248,2.74926,0.08461,1.02758,0.40356,0.67717,0.54369,2.7188,0.08537,0.96614,0.44613,0.65459,0.56457,2.76439,0.08889,0.95854,0.45974,0.66664,0.58573,2.80395,0.09339
382,2400,1.17326,0.35909,0.72716,0.51358,2.77279,0.0875,1.03198,0.4149,0.71555,0.55249,2.72993,0.08466,1.06128,0.40365,0.72096,0.54367,2.74311,0.08538,1.02523,0.44626,0.69488,0.56463,2.75166,0.08892,0.96714,0.4599,0.73758,0.58563,2.68484,0.09345
383,2400,1.15453,0.35912,0.73608,0.5136,2.75742,0.08752,1.07486,0.41498,0.70043,0.55251,2.72425,0.08472,1.10401,0.40367,0.69828,0.54372,2.75847,0.0854,1.11461,0.44626,0.67376,0.56471,2.75995,0.08893,1.06479,0.45994,0.68989,0.58564,2.79141,0.09346
384,2400,1.15145,0.35923,0.72927,0.51362,2.7772,0.08752,0.98533,0.41518,0.65093,0.5527,2.74589,0.08476,1.02507,0.40386,0.65237,0.54393,2.80083,0.0854,0.91244,0.44652,0.62651,0.5649,2.75524,0.08898,0.87055,0.4603,0.62408,0.5858,2.83195,0.09348
385,2400,1.12708,0.35935,0.74594,0.51361,2.74226,0.08755,1.10358,0.41519,0.74971,0.55258,2.70346,0.08482,1.15941,0.40382,0.76539,0.54379,2.75229,0.08542,1.07382,0.44656,0.74916,0.5648,2.76778,0.08903,1.11862,0.46025,0.73899,0.58569,2.71825,0.09357
386,2400,1.14626,0.35935,0.7265,0.51363,2.75014,0.08755,1.02256,0.41535,0.6751,0.55269,2.80601,0.08479,1.05279,0.40392,0.70539,0.54384,2.81421,0.08541,1.00247,0.4467,0.64286,0.56499,2.80234,0.08908,0.98972,0.46035,0.67013,0.58578,2.7864,0.09359
387,2400,1.16693,0.35937,0.71739,0.51368,2.74284,0.08755,1.06677,0.41539,0.69166,0.55273,2.75485,0.0848,1.08604,0.40396,0.70361,0.5439,2.79822,0.08539,1.06443,0.44673,0.68795,0.56502,2.79999,0.08908,1.05641,0.46042,0.68905,0.58579,2.80372,0.09355
388,2400,1.1488,0.35943,0.73867,0.51368,2.78017,0.08753,1.04189,0.41557,0.70404,0.55272,2.79468,0.0848,1.06747,0.40409,0.71648,0.5439,2.76637,0.0854,1.00758,0.44689,0.72624,0.56493,2.80284,0.08908,1.01238,0.46055,0.72406,0.58566,2.78298,0.09355
389,2400,1.16853,0.35948,0.73231,0.51373,2.76527,0.08754,1.04418,0.4157,0.66402,0.55284,2.77861,0.08481,1.02005,0.40427,0.6798,0.544,2.7495,0.08541,0.99702,0.44701,0.64054,0.5651,2.78943,0.08911,1.02438,0.46066,0.63667,0.58585,2.85733,0.09353
390,2400,1.16733,0.35948,0.73517,0.51377,2.77242,0.08751,1.12709,0.4157,0.69044,0.5529,2.73648,0.08485,1.13039,0.40429,0.68951,0.54405,2.77492,0.08542,1.10084,0.44704,0.6966,0.56513,2.8068,0.0891,1.08995,0.46061,0.7084,0.58579,2.84572,0.09351
391,2400,1.15356,0.35953,0.73847,0.51376,2.80062,0.0875,1.0647,0.41579,0.68097,0.55303,2.78578,0.08486,1.09567,0.40432,0.67046,0.54419,2.79087,0.08545,1.07828,0.44701,0.67392,0.56524,2.82637,0.0891,1.05704,0.46066,0.67124,0.58586,2.80667,0.09354
392,2400,1.1199,0.35963,0.74599,0.5137,2.72966,0.0875,1.03765,0.41593,0.67249,0.55314,2.74716,0.0849,1.07778,0.40442,0.70063,0.54423,2.82248,0.08547,0.98259,0.44715,0.66714,0.56533,2.75663,0.08916,1.00918,0.46074,0.6555,0.58594,2.72553,0.09364
393,2400,1.11877,0.35977,0.73855,0.51372,2.78306,0.08752,1.0055,0.41612,0.69471,0.55323,2.7735,0.08493,1.04124,0.40455,0.68827,0.54434,2.78928,0.08546,0.95985,0.44734,0.65035,0.56548,2.80417,0.08917,0.9637,0.46087,0.65426,0.58606,2.73414,0.09365
394,2400,1.1662,0.35977,0.71255,0.5138,2.79409,0.0875,0.97095,0.41639,0.68573,0.55335,2.80679,0.08493,1.02173,0.40477,0.6736,0.54444,2.79206,0.08548,0.92905,0.44758,0.63341,0.5657,2.73303,0.08922,0.91695,0.46112,0.63044,0.58622,2.79734,0.09367
395,2400,1.15817,0.35975,0.72327,0.51391,2.80635,0.0875,1.04915,0.41647,0.67618,0.55347,2.79,0.08493,1.03995,0.40491,0.66788,0.54461,2.82244,0.08545,1.00365,0.44766,0.65355,0.56585,2.77407,0.08926,0.93872,0.4613,0.68441,0.58628,2.83068,0.09364
396,2400,1.14934,0.35986,0.74292,0.51388,2.78999,0.08752,1.02535,0.41656,0.68819,0.55357,2.82881,0.08492,1.04362,0.405,0.65372,0.5448,2.7221,0.08548,0.99832,0.44773,0.64484,0.56602,2.78419,0.08926,0.99298,0.46136,0.65827,0.58637,2.81364,0.09361
397,2400,1.15154,0.3599,0.72753,0.51388,2.76627,0.08751,1.03917,0.41676,0.70412,0.55365,2.75237,0.08496,1.06657,0.40513,0.69558,0.5449,2.71933,0.08552,1.06129,0.44786,0.71303,0.56604,2.72912,0.08931,1.07445,0.4614,0.71896,0.58634,2.76108,0.09365
