model,n_params,d_model,layer,task,pca_dims,lambda,centroid_margin
Qwen2.5-0.5B,0.5,896,20,age_bin,64,1.0,-0.007483
Qwen2.5-0.5B,0.5,896,20,age_bin,128,1.0,8.6e-05
Qwen2.5-0.5B,0.5,896,20,age_bin,256,1.0,0.010316
Qwen2.5-0.5B,0.5,896,20,age_bin,512,1.0,0.018792
Qwen2.5-0.5B,0.5,896,20,gender,896,1.0,0.07666
Qwen2.5-0.5B,0.5,896,20,gender,32,1.0,0.031937
Qwen2.5-0.5B,0.5,896,20,gender,64,1.0,0.036425
Qwen2.5-0.5B,0.5,896,20,gender,128,1.0,0.043709
Qwen2.5-0.5B,0.5,896,20,gender,256,1.0,0.049966
Qwen2.5-0.5B,0.5,896,20,gender,512,1.0,0.056424
Qwen2.5-0.5B,0.5,896,24,age_bin,896,1.0,0.067163
Qwen2.5-0.5B,0.5,896,24,age_bin,32,1.0,-0.010562
Qwen2.5-0.5B,0.5,896,24,age_bin,64,1.0,0.001577
Qwen2.5-0.5B,0.5,896,24,age_bin,128,1.0,0.0134
Qwen2.5-0.5B,0.5,896,24,age_bin,256,1.0,0.019965
Qwen2.5-0.5B,0.5,896,24,age_bin,512,1.0,0.025988
Qwen2.5-0.5B,0.5,896,24,gender,896,1.0,0.105577
Qwen2.5-0.5B,0.5,896,24,gender,32,1.0,0.044209
Qwen2.5-0.5B,0.5,896,24,gender,64,1.0,0.051445
Qwen2.5-0.5B,0.5,896,24,gender,128,1.0,0.056344
Qwen2.5-0.5B,0.5,896,24,gender,256,1.0,0.060686
Qwen2.5-0.5B,0.5,896,24,gender,512,1.0,0.064118
Qwen2.5-0.5B,0.5,896,4,age_bin,896,1.0,-0.019255
Qwen2.5-0.5B,0.5,896,4,age_bin,32,1.0,-0.042135
Qwen2.5-0.5B,0.5,896,4,age_bin,64,1.0,-0.040048
Qwen2.5-0.5B,0.5,896,4,age_bin,128,1.0,-0.03589
Qwen2.5-0.5B,0.5,896,4,age_bin,256,1.0,-0.026853
Qwen2.5-0.5B,0.5,896,4,age_bin,512,1.0,-0.02222
Qwen2.5-0.5B,0.5,896,4,gender,896,1.0,0.026046
Qwen2.5-0.5B,0.5,896,4,gender,32,1.0,0.006066
Qwen2.5-0.5B,0.5,896,4,gender,64,1.0,0.007126
Qwen2.5-0.5B,0.5,896,4,gender,128,1.0,0.011408
Qwen2.5-0.5B,0.5,896,4,gender,256,1.0,0.019589
Qwen2.5-0.5B,0.5,896,4,gender,512,1.0,0.025244
Qwen2.5-0.5B,0.5,896,8,age_bin,896,1.0,0.002042
