batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
462,1.12211,0.3637,0.72359,0.51367,2.739,0.08685,1.07534,0.37843,0.71251,0.52699,2.76734,0.08428,1.04598,0.39945,0.70509,0.54465,2.74588,0.08416,1.02476,0.39541,0.69493,0.54637,2.75483,0.08474,0.99721,0.42024,0.68794,0.55788,2.73236,0.08616,0.97989,0.4448,0.69307,0.56874,2.70688,0.08713,0.99636,0.45442,0.68992,0.58577,2.70294,0.08961
463,1.1495,0.36372,0.72042,0.5137,2.7289,0.08685,1.11949,0.37847,0.69612,0.52708,2.75992,0.08429,1.09883,0.39949,0.67063,0.54477,2.74907,0.08416,1.10989,0.39543,0.66515,0.54648,2.72069,0.08475,1.08327,0.42026,0.64905,0.55802,2.72371,0.08618,1.0725,0.4448,0.64786,0.56885,2.74813,0.08713,1.05298,0.45445,0.64984,0.58584,2.71209,0.08965
464,1.16162,0.36368,0.73009,0.51367,2.7085,0.08686,1.11924,0.37851,0.72507,0.52706,2.77407,0.08429,1.06979,0.39956,0.72084,0.54475,2.7656,0.08415,1.0764,0.39549,0.7215,0.54647,2.75902,0.08476,1.04718,0.42031,0.73106,0.55797,2.74056,0.08619,1.01454,0.44486,0.72747,0.5688,2.75758,0.08714,1.00771,0.4545,0.71104,0.58581,2.71649,0.08966
465,1.15637,0.36368,0.71826,0.5137,2.73809,0.08685,1.11291,0.37855,0.69279,0.52715,2.76263,0.08428,1.09002,0.39962,0.66562,0.54487,2.73022,0.08415,1.07377,0.39559,0.67251,0.54656,2.73528,0.08477,1.04847,0.42044,0.65159,0.55809,2.78119,0.08618,1.05093,0.44494,0.65447,0.56889,2.7496,0.08716,1.05151,0.45457,0.65675,0.58588,2.72612,0.08968
466,1.15286,0.36367,0.72206,0.51371,2.71827,0.08687,1.10334,0.3786,0.71309,0.52717,2.77616,0.08427,1.06276,0.39969,0.68831,0.54491,2.74476,0.08415,1.06347,0.39565,0.69585,0.54658,2.76642,0.08476,1.00969,0.42054,0.70073,0.55808,2.73576,0.08619,0.97573,0.44504,0.68745,0.56888,2.74236,0.08716,0.97519,0.45465,0.67985,0.58587,2.70401,0.0897
467,1.14392,0.36369,0.7154,0.51375,2.71915,0.08688,1.11651,0.37865,0.67262,0.52731,2.7524,0.08427,1.1021,0.39973,0.6408,0.54509,2.71846,0.08417,1.10769,0.39569,0.6278,0.54679,2.7386,0.08478,1.07504,0.42059,0.61728,0.55829,2.73218,0.08621,1.06963,0.44509,0.63419,0.56906,2.75331,0.08717,1.07394,0.45465,0.61327,0.58605,2.74116,0.08972
468,1.14462,0.3637,0.72903,0.51374,2.71033,0.0869,1.09074,0.37871,0.72013,0.52731,2.7312,0.08428,1.05395,0.3998,0.71465,0.54507,2.73236,0.08417,1.06774,0.39574,0.71694,0.54676,2.72185,0.08479,1.01924,0.42069,0.70486,0.55828,2.74169,0.08621,0.99332,0.44518,0.70259,0.56904,2.74091,0.08718,0.96893,0.45476,0.68109,0.58606,2.68454,0.08975
469,1.15216,0.36371,0.72352,0.51375,2.71778,0.08694,1.12805,0.37872,0.71769,0.52731,2.75251,0.08429,1.08635,0.39985,0.69118,0.54513,2.74319,0.08417,1.08629,0.39581,0.70216,0.5468,2.7093,0.08481,1.05585,0.42075,0.67746,0.55835,2.71957,0.08622,1.053,0.44523,0.67261,0.56914,2.7188,0.08719,1.04954,0.45479,0.65434,0.58617,2.7274,0.08976
470,1.11444,0.36377,0.71488,0.51379,2.72313,0.08693,1.08689,0.37878,0.68574,0.52741,2.76727,0.08428,1.04846,0.39993,0.64124,0.54533,2.73224,0.08417,1.0525,0.39589,0.65009,0.54696,2.75198,0.08481,1.01899,0.42081,0.60953,0.55859,2.7312,0.08624,0.97138,0.44535,0.60404,0.56937,2.76437,0.08719,0.96923,0.45491,0.59383,0.58639,2.72212,0.08978
471,1.12887,0.36381,0.72376,0.5138,2.72606,0.08693,1.10421,0.37883,0.71044,0.52743,2.7615,0.08428,1.05667,0.40005,0.68418,0.54539,2.748,0.08417,1.05182,0.39601,0.68953,0.547,2.75668,0.08482,1.01124,0.42094,0.67148,0.55867,2.7526,0.08623,1.01488,0.44544,0.67237,0.56942,2.72874,0.0872,0.99326,0.45503,0.65261,0.58646,2.76877,0.08977
472,1.11075,0.36386,0.71593,0.51383,2.70279,0.08695,1.08339,0.37887,0.6953,0.52749,2.72283,0.0843,1.04892,0.40011,0.67875,0.54545,2.69657,0.08419,1.04661,0.39607,0.68442,0.54705,2.7373,0.08482,0.99756,0.42103,0.68066,0.55871,2.7034,0.08625,0.98561,0.4455,0.68212,0.56943,2.70629,0.08722,0.99609,0.45505,0.68613,0.58644,2.64791,0.08983
473,1.12677,0.3639,0.71345,0.51386,2.71681,0.08697,1.09488,0.37893,0.68511,0.52759,2.75104,0.08431,1.07312,0.40015,0.6541,0.5456,2.74208,0.0842,1.0803,0.39612,0.64716,0.5472,2.72969,0.08484,1.0428,0.42108,0.6405,0.55884,2.73627,0.08626,1.03809,0.44555,0.6206,0.5696,2.74569,0.08723,1.02379,0.45512,0.62608,0.58658,2.74196,0.08983
